*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=hexbotling_v0_4
*Date=18:53:06
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
299;;;12.4329;-11.8379;-90;Bottom;TXT1
300;12k;THT;47.6789;-33.0332;180;Bottom;R16
301;;;3.2512;-29.8662;0;Bottom;Copper Fill114
302;;;30.3833;-25.4053;0;Bottom;Via149
303;;;53.467;-39.3912;0;Bottom;Copper Fill12
304;4.7µF;100 mil [THT, tantalum];44.5039;-25.4132;180;Bottom;C7
305;;;58.4738;-38.1133;0;Bottom;Via95
306;10k;THT;38.1539;-57.7982;180;Bottom;R18
307;;;17.1988;-12.7263;0;Bottom;Via141
308;;THT;4.4989;-27.9532;-90;Bottom;6
309;8.2k;THT;51.4889;-10.1732;0;Bottom;R23
310;;;58.7248;-6.9808;0;Bottom;Copper Fill154
311;;THT;4.4989;-24.1432;-90;Bottom;7
312;;;33.0962;-46.3;0;Bottom;Copper Fill73
313;;;35.6154;-35.5665;0;Bottom;Via157
314;;;28.7274;-25.0402;0;Bottom;Copper Fill121
315;;SO;34.2217;-43.8367;-90;Top;4378T-3
316;;;13.6906;-51.7102;0;Bottom;Copper Fill56
317;;;54.6638;-48.9082;0;Bottom;Via9
318;;;37.0332;-8.4794;0;Bottom;Copper Fill145
319;;;14.8868;-11.7628;-90;Bottom;TXT1
320;;THT;4.4989;-35.5732;-90;Bottom;4
321;;;63.627;-34.5906;0;Bottom;Copper Fill106
322;;;28.321;-35.9114;0;Bottom;Copper Fill98
323;;;9.74582;-11.7146;-90;Bottom;TXT1
324;;;17.2154;-11.7552;-90;Bottom;TXT1
325;;;59.7438;-13.3483;0;Bottom;Hole27
326;;;7.48579;-56.5854;-90;Bottom;TXT1
327;;;28.6289;-10.1732;0;Bottom;Via160
328;;;33.0634;-47.641;0;Bottom;Via154
329;;;58.3692;-36.7496;0;Bottom;Copper Fill97
330;;THT;4.4989;-44.4632;-90;Bottom;2
331;;;9.57881;-5.09328;0;Bottom;Via132
332;;;48.3231;-8.26443;0;Bottom;Via166
333;;;43.6118;-9.8256;0;Bottom;Copper Fill138
334;0;THT;14.0239;-36.2082;0;Bottom;R5
335;12k;THT;47.0439;-43.1932;180;Bottom;R12
336;12k;THT;47.6789;-48.2732;180;Bottom;R10
337;;;2.2606;-22.0176;0;Bottom;Copper Fill129
338;;;4.56281;-17.5261;-90;Bottom;TXT1
339;;;3.2512;-33.6762;0;Bottom;Copper Fill102
340;;;62.357;-53.6914;0;Bottom;Copper Fill4
341;;;53.4924;-39.6452;0;Bottom;Copper Fill88
342;;;38.7858;-22.5256;0;Bottom;Copper Fill27
